dxcode_0,dxname_0
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
abd,Abdomen tumors
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
bt,Brain Tumor
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
coag,Coagulation disorders
exgct,Extracranial germ cell tumor
exgct,Extracranial germ cell tumor
exgct,Extracranial germ cell tumor
exgct,Extracranial germ cell tumor
exgct,Extracranial germ cell tumor
exgct,Extracranial germ cell tumor
exgct,Extracranial germ cell tumor
exgct,Extracranial germ cell tumor
exgct,Extracranial germ cell tumor
hema,Other hematologic
hema,Other hematologic
hema,Other hematologic
hema,Other hematologic
hema,Other hematologic
hereditary,Hereditary and immune deficiency
hereditary,Hereditary and immune deficiency
hereditary,Hereditary and immune deficiency
hereditary,Hereditary and immune deficiency
hereditary,Hereditary and immune deficiency
hereditary,Hereditary and immune deficiency
hereditary,Hereditary and immune deficiency
hereditary,Hereditary and immune deficiency
hereditary,Hereditary and immune deficiency
hereditary,Hereditary and immune deficiency
hn,Head and neck
hn,Head and neck
hn,Head and neck
hn,Head and neck
hn,Head and neck
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
leu,Leukemia and MPD
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
lym,Lymphoid disorders
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
msk,Musculoskeletal tumors
others,Other disorders
others,Other disorders
others,Other disorders
others,Other disorders
others,Other disorders
others,Other disorders
others,Other disorders
others,Other disorders
others,Other disorders
others,Other disorders
others,Other disorders
others,Other disorders
plt,Platelet disorders
plt,Platelet disorders
plt,Platelet disorders
plt,Platelet disorders
plt,Platelet disorders
plt,Platelet disorders
plt,Platelet disorders
plt,Platelet disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
rbcd,RBC disorders
wbcd,WBC disorders
wbcd,WBC disorders
wbcd,WBC disorders
wbcd,WBC disorders
wbcd,WBC disorders
wbcd,WBC disorders
wbcd,WBC disorders
